"","beta1","beta2","beta3","ratio","preda","k","method"
"126",4658.31194819237,25.2057448149339,6.25237769334272,7.94013297515377e-06,590.744912849567,"50","MED1"
"127",5747.02001595468,32.0449936139684,-8.32907501673803,6.19268223257542e-06,593.783127334765,"50","MED1"
"128",5828.98845228561,27.003143015246,-16.656377973443,7.30671693720734e-06,610.297632384399,"50","MED1"
"129",5711.63673203172,33.3018046333442,-1.31065347937087,3.12207004217223e-06,522.119381862428,"50","MED1"
"130",5383.87265756221,27.4912000876829,-5.53530484690769,4.76733598667188e-06,518.494831897037,"50","MED1"
"131",4999.42755252022,21.5025933791266,-9.3441213251731,8.75211474154095e-06,620.705544153597,"50","MED1"
"132",6405.23292131125,27.51949064585,-29.2681098125507,4.2637130267387e-06,595.233622405038,"50","MED1"
"133",5805.31714126957,32.6014582602135,-8.78977746549259,6.66930750959329e-06,582.488936486792,"50","MED1"
"134",4843.76715288339,26.2445292412354,1.85981198810643,7.91785960398169e-06,650.569701183244,"50","MED1"
"135",4823.62241296619,23.7966962553458,1.37810690956025,8.231974214701e-06,583.593706788645,"50","MED1"
"136",5238.28935134002,28.0354851208043,0.626532825077915,6.84664899119025e-06,652.118814359201,"50","MED1"
"137",6276.98254872936,30.6951289076972,-19.831527030636,4.50301086805276e-06,584.016457962205,"50","MED1"
"138",5581.74818330419,24.7599203599176,-15.5379312412288,4.89013939357974e-06,573.346127703763,"50","MED1"
"139",6841.36157254586,30.3667537828213,-31.8346616848846,5.01277214244838e-06,658.286104270235,"50","MED1"
"140",6338.72932492215,34.5889109919059,-15.7817203810285,4.66641834061139e-06,596.317028049323,"50","MED1"
"141",7701.51632282386,38.2743357037748,-32.9878960110179,6.28369712396363e-06,590.428010198643,"50","MED1"
"142",5715.9537840768,31.0172400556836,-8.15211363866942,3.84540640253214e-06,604.449317823452,"50","MED1"
"143",6524.20768625352,27.0317094071027,-29.1858258669511,6.45979562634058e-06,565.961130717267,"50","MED1"
"144",5487.15970707127,22.8221427308189,-17.0617577497525,7.78994066150658e-06,618.478860148513,"50","MED1"
"145",4876.28291000031,25.4036187359194,-1.4056831733912,5.28170495926729e-06,600.099552772458,"50","MED1"
"146",5859.18867367165,29.4440616717429,-14.261881312122,3.73743810032027e-06,597.44752326175,"50","MED1"
"147",6580.06073671309,30.2782963454312,-24.5717739841918,9.45230436773622e-06,613.951968855859,"50","MED1"
"148",6271.54113384907,29.6108297674885,-19.6754270622835,5.85941750519468e-06,650.913703671433,"50","MED1"
"149",6277.07724394519,28.2673760475288,-24.0046632021248,6.63582490159713e-06,547.068983805107,"50","MED1"
"150",4888.10103103695,22.4269160462808,-8.2684847573741,9.32452412423771e-06,626.665952741407,"50","MED1"
"151",6862.31082588338,38.4130723649891,-15.7732194836164,5.78443133186514e-06,558.858792133049,"50","MED1"
"152",5255.48430320346,27.1716827140669,-4.61678440531591,6.00726543645523e-06,625.554226340464,"50","MED1"
"153",5630.36079362803,31.794053963915,-4.18471800927401,4.89591008434144e-06,532.12677014876,"50","MED1"
"154",5213.66351207785,27.0598423854393,-4.03046398474391,4.69789261592656e-06,682.42732830063,"50","MED1"
"155",6037.59433882147,26.0624189542547,-23.6957380348421,8.69155393550442e-06,568.142564249087,"50","MED1"
"156",5895.98625339089,25.2453263069271,-21.8039228821459,4.87783547559898e-06,617.21638313406,"50","MED1"
"157",5086.33258181228,32.3713676429211,9.48213497219523,7.86772380125982e-06,594.540623667652,"50","MED1"
"158",5525.4586662061,27.1977563745994,-10.0849423753566,3.9515117158313e-06,568.656316559106,"50","MED1"
"159",5483.50784665398,30.2626631817096,-4.43042844020708,6.24564935036542e-06,590.941131065788,"50","MED1"
"160",5614.26606130313,24.3226908027276,-17.4887377018825,4.08904730405338e-06,653.331068278626,"50","MED1"
"161",6901.45164181236,32.9113197795733,-29.1605752531651,6.57548616157115e-06,621.814767061701,"50","MED1"
"162",5674.03741738333,29.0448170020764,-9.85122267214807,5.07658910774687e-06,591.202385507854,"50","MED1"
"163",6015.26122978113,27.9963123330756,-16.5510981129411,9.97752511740712e-06,633.541022525741,"50","MED1"
"164",5523.37679900426,28.7233093082543,-10.7722781769396,5.34027475856553e-06,643.701892713257,"50","MED1"
